web-scraper-order,web-scraper-start-url,name,descpription,image-src
"1647243317-207","https://www.arbolesibericos.es/genres","Acer negundo L.","Negundo","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_k6lkvns66rk.jpg?alt=media&token=147422c3-1690-4aaa-a89c-279e55ed173b"
"1647243317-221","https://www.arbolesibericos.es/genres","Castanea sativa Miller","Castaño,  Regoldo,  Castanyer (cat.),  Gaztainondo (eusk.),  Castiñeiro (gall.),  Castanheiro (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_zrirfrr31z.jpg?alt=media&token=a4c49ae9-c2c2-4b64-8428-a627ebbfb80e"
"1647243317-242","https://www.arbolesibericos.es/genres","Ficus carica L.","Higuera,  Cabrahigo,  Figuera (cat.),  Pikondoa (eusk.),  Figueira (gall. y port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_5q3wkhuy1hb.jpg?alt=media&token=330dcace-296a-46d9-af85-0aa8736591d1"
"1647243317-257","https://www.arbolesibericos.es/genres","Malus sylvestris (L.) Mill.","Maillo,  Manzano silvestre,  Pomera borda (cat.),  Sagarmina (eusk.),  Maceira brava (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_r1oq2wppyoj.jpg?alt=media&token=f0f85d23-71bb-41e7-8bfe-ba5b8e8d753e"
"1647243317-255","https://www.arbolesibericos.es/genres","Liquidambar styraciflua L.","","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_mja464zyou?alt=media&token=dee0e593-82ef-4e43-adbd-0cf612a48898"
"1647243317-279","https://www.arbolesibericos.es/genres","Populus alba L.","Álamo,  Álamo blanco,  Chopo,  àlber (cat.),  Xop blanc (cat.),  Zuzuria (eusk.),  Choupo branco (gall. y port.),  Álamo branco (gall. y port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_ynkcakgv38o.jpg?alt=media&token=7d7dbebe-6d31-4e00-87ef-7ece808fa2ae"
"1647243317-314","https://www.arbolesibericos.es/genres","Sorbus aria (L.) Crantz","Mostajo,  Moixera (cat.),  Hostazuria (euks.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_ubdyg4s1jm.jpg?alt=media&token=024401a1-5d75-4493-8bb7-6c0f5ccbd8c6"
"1647243317-215","https://www.arbolesibericos.es/genres","Arbutus unedo L.","Madroño,  Madroñera,  Arboç (cat.),  Gurbitza (eusk.),  Érbedo (gall.),  Medronheiro (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_tsosti409va.jpg?alt=media&token=f9e8453f-82a6-4f6f-b9f3-1c3326be4c45"
"1647243317-256","https://www.arbolesibericos.es/genres","Malus domestica (Borkh.) Borkh.","Manzano,  Manzanera,  Pomera (cat.),  Sagarrondoa (eusk.),  Maceira (gall. y port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_4ymghqch85k.jpg?alt=media&token=42a24bf2-6916-4a60-a37c-9f07d35f4734"
"1647243317-298","https://www.arbolesibericos.es/genres","Quercus pubescens Willd.","Roble,  Roble pubescente,  Roure martinenc (cat.),  Ametz ilaunduna (eusk.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_klik1bouras.jpg?alt=media&token=bafb49ef-d939-4d2e-a5e3-a7a2973c5d75"
"1647243317-260","https://www.arbolesibericos.es/genres","Morus nigra L.","Moral,  Morera negra,  Marugatze beltza (eusk.),  Amoreira negra (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_t6iwvhbxro.jpg?alt=media&token=fe5431fd-bafe-4eec-bfac-b3d5f0ed4b19"
"1647243317-269","https://www.arbolesibericos.es/genres","Pinus nigra Arnold","Pino salgareño,  Pino negral,  Pino laricio,  Pinassa (cat.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_8ny1wnhiygj?alt=media&token=8de05117-501a-4557-84b1-65e4958fc6be"
"1647243317-227","https://www.arbolesibericos.es/genres","Chamaerops humilis L.","Palma enana,  Palmito,  Margalló (cat.),  Astapalma (eusk.),  Palmeira ana (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_1l4xd0zprya.jpg?alt=media&token=5780d5ce-1a32-49e5-984a-70c7443b02e7"
"1647243317-223","https://www.arbolesibericos.es/genres","Celtis australis L.","Almez,  Lodón,  Latonero,  Lledoner (cat.),  Almeza (eusk.),  Basaka (eusk.),  Lodoeiro (gall.),  Agreira (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_ylbnjlhlbw.jpg?alt=media&token=b366c42d-61b4-4964-a347-43236262fe0b"
"1647243317-264","https://www.arbolesibericos.es/genres","Phoenix canariensis Hort. ex Chabaud","Palmera canaria","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_plg0a6xpt9h.jpg?alt=media&token=67612734-7f23-4531-b0b6-d910847060d9"
"1647243317-250","https://www.arbolesibericos.es/genres","Juniperus communis L.","Enebro,  Jabino,  Ginebre (cat.),  Cimbro (gall.),  Zimbro comun (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_m0ubpsg60kl.jpg?alt=media&token=5e1ae0d6-fc39-44a0-90a5-7bda4c20fa20"
"1647243317-300","https://www.arbolesibericos.es/genres","Quercus robur L.","Roble,  Roble albar,  Carballo,  Roble pedunculado,  Roure pènol (cat.),  Haritz kanduduna (eusk.),  Carvalho comum (port.),  Alvarinho (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_0we7tt4bv47c.jpg?alt=media&token=1537ed27-a2ee-4dbe-b7ae-62d139656ee0"
"1647243317-288","https://www.arbolesibericos.es/genres","Prunus lusitanica L.","Loro,  Azarero,  Llorer-cirer silvestre (cat.),  Portugal erramua (eusk.),  Azereiro (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_6fsrecw7lx6.jpg?alt=media&token=c81ae946-d417-4823-bac2-ae11180e7854"
"1647243317-218","https://www.arbolesibericos.es/genres","Buxus sempervirens L.","Boj,  Boje,  Boix (cat.),  Ezpela (eusk.),  Buxo (gall. y port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_u7zuys5m3m.jpg?alt=media&token=0e1d23f7-9e08-486e-a996-fe67af118b1b"
"1647243317-214","https://www.arbolesibericos.es/genres","Alnus glutinosa (L.) Gaertner","Aliso,  Vern (cat.),  Haltza (eusk.),  Ameneiro (gall.),  Amieiro (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_kr91ekh8gpo?alt=media&token=92c24005-b51e-4029-a9dc-967f7cb615d5"
"1647243317-282","https://www.arbolesibericos.es/genres","Populus x canadensis Moench","Chopo","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_mbdt4ha0k5?alt=media&token=6879f161-71bf-46a7-8412-3d7d10dfbf4d"
"1647243317-245","https://www.arbolesibericos.es/genres","Fraxinus excelsior L.","Fresno,  Fresno de montaña,  Freixe de fulla gran (cat.),  Lizarra (eusk.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_da5hdvjre8b.jpg?alt=media&token=f1155369-3157-47e1-8ea1-15d8dfd63f60"
"1647243317-327","https://www.arbolesibericos.es/genres","Ulmus minor Mill.","Olmo,  Olma,  Negrillo,  Om (cat.),  Zumar (eusk.),  Ulmeiro (gall. y port.),  Negrilho (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_l4xjdala5p.jpg?alt=media&token=17ecc5b0-ab1a-483d-8635-e4bd36d1fb1f"
"1647243317-205","https://www.arbolesibericos.es/genres","Acer granatense Boiss.","Arce,  Ácer,  Ásar,  Orón (cat.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_wztncqihb7?alt=media&token=d6052cb1-91b3-45c4-8938-b8dabf27896b"
"1647243317-311","https://www.arbolesibericos.es/genres","Sequoia sempervirens Endl.","Secuoya","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_xgk81u5gx69.jpg?alt=media&token=46434b98-cc88-469c-a348-b2b7780ec81c"
"1647243317-254","https://www.arbolesibericos.es/genres","Laurus nobilis L.","Laurel,  Llorer (cat.),  Ereinotza (eusk.),  Erramua (eusk.),  Loureiro (gall. y port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_po3qxr99s9?alt=media&token=3f4cfee5-3af8-4e19-b204-5841339b2995"
"1647243317-293","https://www.arbolesibericos.es/genres","Quercus canariensis Willd.","Quejigo,  Roure africà (cat.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_melrrukx8m.jpg?alt=media&token=6835c79c-ed09-49bf-9481-b4c622c17570"
"1647243317-247","https://www.arbolesibericos.es/genres","Gleditsia triacanthos L.","Acacia de tres espinas,  Acàcia de tres espines (cat.),  Arkazia hiruarantza (eusk.),  Espinheiro da Virgínia (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_vjt13pxor1e.jpg?alt=media&token=8c83e89e-3362-42b5-8ee3-205552c45fab"
"1647243317-232","https://www.arbolesibericos.es/genres","Crataegus monogyna Jacq.","Espino albar,  Majuelo,  Arto,  Arç blanc (cat.),  Espinalb (cat.),  Elorri zuria (eusk.),  Estripo albar (gall.),  Estripeiro (gall.),  Pirliteiro (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_npr4mfa463a?alt=media&token=dc8d4679-899f-4270-a265-421295eccac7"
"1647243317-280","https://www.arbolesibericos.es/genres","Populus nigra L.","Chopo,  Álamo,  Negrillo,  Pobo,  Pollancre (cat.),  Makal beltza (eusk.),  Choupo negro (gall. y port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_wmtcb8uc1lg?alt=media&token=514a72bb-f71f-4822-b88b-449394c3512c"
"1647243317-276","https://www.arbolesibericos.es/genres","Pistacia terebinthus L.","Cornicabra,  Tornalobo,  Escornacabra","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_n19syop1ner.jpg?alt=media&token=7794d76c-774e-4469-a432-111efda77e7e"
"1647243317-289","https://www.arbolesibericos.es/genres","Prunus mahaleb L.","Cerezo de Santa Lucía,  Cerecino,  Cirerer de guineu (cat.),  Oilarana (eusk.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_tndcyk5rr1d.jpg?alt=media&token=cfe5247c-ea0e-475f-95c9-2705f48072b3"
"1647243317-241","https://www.arbolesibericos.es/genres","Fagus sylvatica L.","Haya,  Faya,  Faig (cat.),  Pagoa (eusk.),  Faia (gall. y port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_u6k42dx80ak?alt=media&token=738b4126-d672-44e7-9a49-14e86eec33dd"
"1647243317-305","https://www.arbolesibericos.es/genres","Salix atrocinerea Brot.","Sauce,  Salguera,  Sarga,  Gatell (cat.),  Saraxa (eusk.),  Salgueiro (gall.),  Salgeiro preto (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_ssytjj7iuyn?alt=media&token=543d3458-2ba3-437c-bc02-0678667cd521"
"1647243317-243","https://www.arbolesibericos.es/genres","Frangula alnus Mill.","Arraclán","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_9q3fdtwpkjb.jpg?alt=media&token=897d3a34-e3f2-47d7-8f1f-8ec4c70247ea"
"1647243317-297","https://www.arbolesibericos.es/genres","Quercus petraea (Mattuschka) Liebl.","Roble,  Roble albar,  Roure de fulla gran (cat.),  Haritz (eusk.),  Carba (gall.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_f0foax2k6nq.jpg?alt=media&token=a90d8a47-f440-4fea-8255-731275179d4a"
"1647243317-317","https://www.arbolesibericos.es/genres","Sorbus latifolia (Lam.) Pers.","Mostajo","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_9khnyfo7ho.jpg?alt=media&token=2d7ae167-005c-4991-a1c5-29d5d6bf905c"
"1647243317-318","https://www.arbolesibericos.es/genres","Sorbus torminalis (L.) Crantz","Mostajo,  Moixera de pastor (cat.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_59n3t0r4rw5.jpg?alt=media&token=eb882bfa-aa37-43df-9b38-17bccfd27caa"
"1647243317-299","https://www.arbolesibericos.es/genres","Quercus pyrenaica Willd.","Melojo,  Rebollo,  Quejigo (Teruel),  Roble tozo,  Roure reboll (cat.),  Ametza (eusk.),  Cerquiño (gall.),  Carvalho-negral (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_0trgpmfttp3.jpg?alt=media&token=5b3411bc-ff9b-404b-90eb-dd43d5facddd"
"1647243317-211","https://www.arbolesibericos.es/genres","Aesculus hippocastanum L.","Castaño de indias,  Castaño loco,  Castanyer bord (cat.),  Indigaztainondo errunta (eusk.),  Castanheiro-da-India (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_sqgf5yl7ggh.jpg?alt=media&token=a32f5a23-9cb6-43e8-b338-cd4e9dfb6e88"
"1647243317-328","https://www.arbolesibericos.es/genres","Ulmus pumila L.","Olmo de Siberia","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_pc0tztjx9t.jpg?alt=media&token=be755f77-00cc-48ee-949e-3eca838d496f"
"1647243317-228","https://www.arbolesibericos.es/genres","Corylus avellana  L.","Avellano,  Avellaner (cat.),  Urritza (eusk.),  Abelaneira (gall.),  Aveleira (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_j4y4yge54vl.jpg?alt=media&token=6ae4a8cc-b912-470a-a291-c371687f16cd"
"1647243317-303","https://www.arbolesibericos.es/genres","Robinia pseudoacacia L.","Falsa acacia,  Robinia,  Robínia (cat.),  Sasiarkazia (eusk.),  Falsa acácia (port.),  Acácia bastarda (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_2suykah9nt2.jpg?alt=media&token=885b1d55-156c-4d0e-baba-4d3f9f2c65a4"
"1647243317-291","https://www.arbolesibericos.es/genres","Pseudotsuga menziesii (Mirbel) Franco","Abeto de Douglas","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_l4vvid6pvvo.jpg?alt=media&token=9ade5719-3b07-4866-b8f6-99be4653ab24"
"1647243317-206","https://www.arbolesibericos.es/genres","Acer monspessulanum L.","Arce duro,  Durón,  Auró negre (cat.),  Uró (cat.),  Eihar frantsesa (eusk.),  Zêlha (port.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_bpqm122gggg?alt=media&token=d2eef86d-5c97-47d9-86e3-864994d38808"
"1647243317-220","https://www.arbolesibericos.es/genres","Carpinus betulus L.","Carpe,  Xarma (eusk.)","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_kmetxh4ppq.jpg?alt=media&token=0711f22f-650a-45ed-b48e-1d6e032a93ea"
"1647243317-217","https://www.arbolesibericos.es/genres","Betula pubescens Ehrh.","","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_0es6zovs8e4t?alt=media&token=e383c7e9-8015-4fde-9894-310a83f5690d"
"1647243317-203","https://www.arbolesibericos.es/genres","Abies pinsapo Boiss.","Pinsapo,  Pinsapo,  Pino pinsapo","https://firebasestorage.googleapis.com/v0/b/wallace-2b61a.appspot.com/o/images%2Fthumb@350_350_axk95w2z92.jpg?alt=media&token=73dcaf37-6bf1-4413-ad2f-25afcbf74047"
